place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type
Gokhosing,[],,Ohio,,,place in Ohio,
Goschachging,[],,,,,,
Goschachgunk,"['Goschachking', 'Goschaching', 'Coschachkung']",,Ohio,,,Coshocton & Coshocton | Delaware Town on Muskingum River,
Goschgosching,[],,,,,,
Goschgoschunk,[],,,,,,
Goschgoschunk,"['Coschkoschingk', 'Coschcoschingk', 'Kuschkusching']",Venango County,Pennsylvania,,,Munsee Town on Allegheny River,
Goschgoschunk on Allegheny River,['Coschcoshing'],,Pennsylvania,,,,H
Goschschossunk,[],,Ohio,,,place in Ohio | Goschschossink,
Goshen,[],,New York,,,,
Gothenburg,[],,,Sweden,,,
Grace Half,['Fulneck'],,,,,England | Yorkshire,
Graceham,[],,Maryland,,,,
Gracehill,['Gnadenhugel'],,,Ireland,,,T
Grand River,[],,Ohio,,,,H
Grand River,['Schwago'],,Ontario,,,,H
Grand River,[],,Ohio,,,Cuyahoga River,H
Granville,[],Licking County,Ohio,,,,
Great Beaver Creek,[],,,,,,H
Great Creek,"['Ohio River', 'Lehigh River']",,,,,,H
Great Island,[],,Ohio,,,above Marietta | at mouth of Muskingum River,
Great Island,[],Clinton County,Pennsylvania,,,in West Branch Susquehanna River & below Lock Haven | West Branch Susquehanna,
Great Island,[],,,,,,
Great Lake,[],Dutchess County,New York,,,,
Great Lakes,"['Laks', 'Lacks']",,,,,,
Great Miami,[],,Ohio,,,,
Great Miami River,[],,,,,,H
Great Nine Partners Tract,[],Dutchess County,New York,,,,
Great Shawnee Town,[],,,,,,
Great Swamp,[],Monroe County,Pennsylvania,,,,
Green Bay,[],,Wisconsin,,,,H
Green County,[],Green County,Pennsylvania,,,,
Greenland,[],,,Greenland,,,
Greensburg,[],Westmoreland County,Pennsylvania,,,,
Greentown,[],,Ohio,,,near Mansfield | Sambesink | Penexit's Town | also Armstrong's Town,
Greenville,[],Darke County,Ohio,,,,
Greenwich,[],,Connecticut,,,County | Fairfield,
Greenwich,[],Washington County,New York,,,,
Grosse Isle,[],,Michigan,,,Detroit River,
Guernsey County,[],Guernsey County,Ohio,,,,
Guinea,[],,,Guinea,,West Africa,
Gulf of Lawrence,[],,,,,,H
Hackientachous Creek,['modern Hokendaugua Creek'],,Pennsylvania,,,County | Northampton | also Wilson's Creek,H
Hagerstown,[],,Maryland,,,,
Hallobank,"['Hallabank', 'Hallapank', 'Phallobank', 'Phallapank']",,,,,Cayuga Town north of Wyalusing,
Hamilton,[],Hamilton,Ohio,,,,
Hamilton's Mill,[],,Indiana,,,,
Hamilton's Mills,[],,,,,,
Hannastown,[],,Pennsylvania,,,,
Harris' Ferry,"[""also Harrison's Ferry""]",,Pennsylvania,,,Harrisburg,
Harrisburg,[],,Pennsylvania,,,,
Harrison's Ferry,"['Harrisburg', 'Pennsylvania']",,Pennsylvania,,,Harrisburg | Harris Ferry,
Harsen's Island,[],,Michigan,,,mouth of St. Clair River,
Hartford,[],,Connecticut,,,,
Havanna,['Awanna'],,,,,,
Hebron,[],Lebanon County,Pennsylvania,,,,
Heerandyk,[],,,,,Holland,
Heidelberg,[],Berks County,Pennsylvania,,,,
Heller's Tavern,[],,,,,,
Helltown,[],,Ohio,,,Walhending River,
Hernhag,[],,,Germany,,,
Herrnbaag,[],,,Germany,,,
Herrnhut,[],,,Germany,,,
Hessen-Kassel,[],,,Germany,,,
Hickory Tavern,[],,New Jersey,,,,
High Lands,[],,New York,,,Orange and Putnam Cos.,
Hockhooking Creek and Town,['Kockhocking'],,,,,,H
Hocking River,[],,,,,tribut. of Ohio River,H
Hokendaugua Creek,[],Northampton County,Pennsylvania,,,,H
Hokhokunk,['probably Hockhocking'],,,,,,
Holland,[],,,,,,
Holsbon River,[],,Tennessee,,,,H
Honeywint,[],,,,,,
Hope,[],,New Jersey,,,,
Hope,[],,North Carolina,,,,
Hope,['Hoop'],,,Suriname,,,
Hope's Cove,['South?'],,,,,Lake Erie & Lake Erie | anchoring place on Bass Island,
Hopedale,[],,,,,Labrador,
Horn River,['Eskenne'],,,,,,H
Horseshoe Fall,[],,Ontario,,,Niagara River,
Housatonic River,[],,Connecticut,,,,H
Hudson,[],Summit County,Ohio,,,,
Hudson,[],,,,,,
Hudson Bay,[],,,,,,H
Hudson River,['North River'],,New York,,,,H
Humber River,[],,Ontario,,,,H
Hunt's Ferry,[],Wyoming County,Pennsylvania,,,Falls,
Hurley,[],Ulster County,New York,,,,
Huron Point,['Clinton'],,Michigan,,,mouth of Huron River,S
Huron River,['Petquotting River'],,,,,O,H
Huron River,['Petquotting'],Wayne County,Michigan,,,at Detroit River estuary & O & now Clinton River,H
Huron River,"['al', 'Petquotting']",,Ohio,,,,H
Huron River,['Clinton'],,Michigan,,,,H
Huron River Macomb County,['Clinton River'],,Michigan,,,,H
Huron Straits,['Straights'],,Ontario,,,near mouth of St. Clair River,
Hutberg,[],,,Germany,,hill near Herrnhut,
Illinois,[],,Illinois,,,,
Illinois River,[],,,,,,H
Indiana Territory,[],,,,,,L
Industry,[],,Ohio,,,place on Mahony Creek,
Irish settlement,[],,,,,probably Indiana,
Irish settlement,[],Northampton County,Pennsylvania,,,Allen Township,
Islington,[],,,,,England,
Jack Creek,[],,Pennsylvania,,,possibly Youghidgheny River,H
Jackson's Tavern,[],,New York,,,place between Goshen and Kingston,
Jacob's Heights,['Jacobshuh'],Northumberland County,Pennsylvania,,,Lower Augusta Township,
Jahannis Ruh,[],,Pennsylvania,,,Carbon or Luzerne County,
Jamaica,[],,,Jamaica,,West Indies,
Jefferson County,[],Jefferson County,Ohio,,,,
Jena,[],,,Germany,,,
Jenky Hall,[],,,,,Detroit,
Jequaminische,[],,,,,,
Jerome's Town,[],Ashland County,,,,Ohio,
Jersey,['The Jerseys'],,,Jersey,,,
Johnson's Hall,[],,New York,,,north side of Mohawk River | place between Fort Hunter and Fort Plain,
Johnson's Harbor,"['probably Kuckville', 'New York']",,,,,,
Jongquakamik,[],,,,,,
Jongquakamik Landing,[],,Ontario,,,,
Jongquakamik River,['East Sydenham'],,Ontario,,,,H
Juniata Crossings,[],Bedford County,Pennsylvania,,,,
Juniata River,[],,Pennsylvania,,,Tachochniato,H
K'takanstschau,[],Dutchess County,New York,,,the Big Mountain,
Kaek ke la muk paechung,[],,,,,Town and Creek | Kekelamukpechung | Kekelamukpechen,
Kajakistown,[],,Ontario,,,,
Kanawha River,['Canhawa'],,West Virginia,,,,H
Kanawha River West Virginia,['Kashaway'],,,,,,H
Kaniseraga,[],Livingston County,New York,,,Ganaeraga Creek,
Kantanienberg,[],,,,,,
Kaschkaschkung,['Kaschkaschkunk'],,,,,,
Kaschkaskung,[],,,,,,
Kaskaskunk,[],,,,,,
Kaskaskunk,"['Kaskaskung', 'Kaschkaskung', 'Kaschkaschkunk']",Lawrence County,Pennsylvania,,,Munsee Town on Beaver River,
Kaskaskunk Lawrence County,"['Kaskaskung', 'Caskaskung', 'Coschcaskung on Beaver River']",,Pennsylvania,,,,
Kaunaumeek,"['Kenumeck', 'Cenemek']",Columbia County,New York,,,Nassau Township,
Kaunschannek,['Kawunschhannek'],,,,,,
Ke-kek-ton long timber,['Mohawk'],,,,,,
Kekelemukpechunk,[],,,,,,
Kent,[],Litchfield County,Connecticut,,,,
Kentucky,"['Kentuk', 'Kentuke']",,Kentucky,,,,
Killbuck Creek,[],Holmes County,Ohio,,,,H
Kinderhook,[],Columbia County,New York,,,,
King's Bridge,[],,,,,New YorkC | Harlem River,
King's Island,['Grosse Ile'],,Michigan,,,,
