person,years,factoid_lons,factoid_lats
"Denke, Christian Frederick.","['1801', '1802', '1800', '1800', '1800', '1800', '1803', '1803', '1803', '1803', '1802', '1802', '1803', '1803', '1805', '1804', '1805', '1805', '1805', '1805', '1806', '1806', '1806', '1802', '1802', '1802', '1802', '1804', '1804', '1804', '1805', '1800', '1804', '1804', '1804', '1803', '1800', '1800', '1813', '1807', '1807', '1804', '1804', '1804', '1807', '1800', '1805', '1805', '1805', '1814', '1814', '1813', '1813', '1813', '1813', '1813', '1805', '1814', '1804', '1810', '1804', '1809', '1804', '1809', '1809', '1803', '1805', '1805', '1802', '1802', '1802', '1801', '1801', '1801', '1802', '1811', '1807', '1807', '1807', '1807', '1807', '1807', '1806', '1807', '1806', '1806', '1811', '1806', '1806', '1806']","['-83.04575', '-76.82644', '-88.03679', '-74.32432', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-78.73031', '-73.26373', '-73.26373', '-75.69935', '-73.26373', '-73.26373', '-76.82644', '-78.73031', '-73.26373', '-73.26373', '-73.26373', '-76.82644', '-76.82644', '-73.26373', '-74.32432', '-76.82644', '-73.26373', '-73.26373', '-73.26373', '-81.43428', '-73.26373', '-73.26373', '-73.26373', '-73.26373', '-74.32432', '-74.32432', '-73.26373', '-74.32432', '-82.70796', '-73.26373', '-73.26373', '-73.26373', '-74.32432', '-81.43428', '-73.26373', '-73.26373', '-73.26373', '-79.59372', '-79.94216', '-80.83301', '-79.4663', '-73.26373', '-73.26373', '-84.87762', '-83.04985', '-77.99951', '-73.26373', '-76.82644', '-75.69935', '-73.26373', '-75.92687', '-73.26373', '-73.26373', '-75.30962', '-73.26373', '-73.26373', '-73.26373', '-76.82644', '-73.26373', '-83.04575', '-73.26373', '-76.82644', '-76.82644', '-76.82644', '-88.03679', '-76.82644', '-82.54906', '-82.54906', '-73.26373', '-82.54906', '-88.03679', '-82.54906', '-73.26373', '-73.26373', '-83.05925', '-73.26373', '-73.26373', '-73.26373']","['42.33143', '44.49736', '46.90992', '41.40204', '41.14121', '41.14121', '41.14121', '41.14121', '41.14121', '41.14121', '41.14121', '41.14121', '40.86173', '41.14121', '41.14121', '45.2668', '41.14121', '41.14121', '44.49736', '40.86173', '41.14121', '41.14121', '41.14121', '44.49736', '44.49736', '41.14121', '41.40204', '44.49736', '41.14121', '41.14121', '41.14121', '40.3584', '41.14121', '41.14121', '41.14121', '41.14121', '41.40204', '41.40204', '41.14121', '41.40204', '41.44894', '41.14121', '41.14121', '41.14121', '41.40204', '40.3584', '41.14121', '41.14121', '41.14121', '43.55206', '43.27291', '43.13339', '43.63342', '41.14121', '41.14121', '38.20042', '42.08339', '43.75012', '41.14121', '44.49736', '45.2668', '41.14121', '40.33565', '41.14121', '41.14121', '40.74038', '41.14121', '41.14121', '41.14121', '44.49736', '41.14121', '42.33143', '41.14121', '44.49736', '44.49736', '44.49736', '46.90992', '44.49736', '41.3981', '41.3981', '41.14121', '41.3981', '46.90992', '41.3981', '41.14121', '41.14121', '42.28318', '41.14121', '41.14121', '41.14121']"
Denke.,"['1803', '1803', '1816']","['-78.73031', '-79.66632', '-74.32432']","['40.86173', '43.60012', '41.40204']"
"Denny, William, deputy governor.",['1758'],['-105.63666'],['41.47747']
"Denny, William.",['1758'],['-78.73031'],['40.86173']
"Dexter, Thomas.",['1798'],['-80.29967'],['43.1668']
"Dixon, Methodist minister.",['1810'],['-74.32432'],['41.40204']
"Dixon, William.",['1755'],['-78.73031'],['40.86173']
"Dodge, Jonathan, lieutenant.",['1763'],['-78.73031'],['40.86173']
"Doerrbaum, Johann Philipp; Bethlehem.",['1751'],['-81.43428'],['40.3584']
"Dolson, John.",['1813'],['-73.26373'],['41.14121']
"Dolson, Matthew, merchant; Detroit, later on Thames River, Ont.",['1784'],['-83.04575'],['42.33143']
"Dolson, Matthew, store and tavern keeper, farmer on Thames R.",['1804'],['-83.04985'],['42.08339']
"Dolson, Matthew.","['1804', '1804', '1802', '1803', '1793', '1798', '1798']","['-73.26373', '-73.26373', '-82.44981', '-82.44981', '-82.44981', '-73.26373', '-73.26373']","['41.14121', '41.14121', '42.31679', '42.31679', '42.31679', '41.14121', '41.14121']"
"Douglas, Wheeler; Brantford, Ont.",['1798'],['-81.28066'],['41.76032']
"Drummond, lt. Colonel.",['1814'],['-53.94393'],['47.2416']
"Duncan, David, partner in firm of Duncan and Wilson; Pittsburg.",['1785'],['-83.04575'],['42.33143']
"Duncan, David.",['1787'],['-81.45818'],['39.41619']
"Dunmore, Lord, general governor of Virginia (""Don Moore"").",['1774'],['-79.99589'],['40.44062']
"Eberhardt, Nicholas.",['1756'],['-78.73031'],['40.86173']
"Eberhardt, Nicolaus Heinrich.",['1755'],['-78.73031'],['40.86173']
"Eberhardt, Nicolaus Heinrich; Bethlehem.","['1754', '1752', '1753']","['-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584']"
Eckert.,['1800'],['-74.32432'],['41.40204']
"Edmonds, Elizabeth, w. Peter Edmonds; Gnadenhutten.",['1802'],['-74.32432'],['41.40204']
"Edmonds, Peter, Jr.; Beersheba.",['1812'],['-74.32432'],['41.40204']
"Edmonds, Peter.","['1801', '1805', '1807']","['-74.32432', '-74.32432', '-81.44567']","['41.40204', '41.40204', '40.48979']"
"Edmonds, Peter; Gnadenhutten.","['1799', '1800', '1801']","['-74.32432', '-53.21478', '-74.32432']","['41.40204', '47.49989', '41.40204']"
"Edmonds, William; Bethlehem.",['1758'],['-75.16362'],['39.95238']
"Edwards, William, missionary.","['1785', '1785', '1785', '1785', '1787', '1791', '1787', '1798', '1791', '1798', '1798', '1786', '1783', '1783']","['-83.40465', '-88.03679', '-83.04575', '-83.04575', '-91.53355', '-83.04575', '-80.99973', '-81.45818', '-83.04575', '-73.26373', '-83.04575', '-80.99973', '-83.04575', '-83.04575']","['41.72144', '46.90992', '42.33143', '42.33143', '50.43337', '42.33143', '42.2501', '39.41619', '42.33143', '41.14121', '42.33143', '42.2501', '42.33143', '42.33143']"
"Edwards, William, new member of missionary staff.","['1776', '1783', '1783', '1782', '1782', '1781', '1779']","['-81.45818', '-78.73031', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-81.43428']","['39.41619', '40.86173', '42.33143', '42.33143', '42.33143', '42.33143', '40.3584']"
"Edwards, William.","['1801', '1799', '1798', '1798', '1798', '1798', '1798', '1799', '1799']","['-74.32432', '-81.43428', '-81.43428', '-74.32432', '-74.32432', '-74.32432', '-81.43428', '-81.43428', '-74.32432']","['41.40204', '40.3584', '40.3584', '41.40204', '41.40204', '41.40204', '40.3584', '40.3584', '41.40204']"
"Eggert (al. Eckert), Christian; Bethlehem.","['1751', '1755']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Ehrhardt, Johann Christian; Bethlehem.",['1748'],['-81.43428'],['40.3584']
"Elliot, Matthew, capt.; Malden.","['1814', '1814']","['-79.83713', '-79.83713']","['43.38621', '43.38621']"
"Elliot, Matthew, captain.","['1791', '1799', '1806', '1791', '1791']","['-83.14986', '-73.26373', '-73.26373', '-83.45993', '-83.14986']","['42.04116', '41.14121', '41.14121', '41.69949', '42.04116']"
"Elliot, Matthew, trader; Pittsburg, later British captain.",['1774'],['-76.40302'],['39.94677']
"Elliot, captain Matthew.",['1812'],['-83.04985'],['42.08339']
"Elliot, captain Matthew; Malden, Ont.",['1804'],['-83.04985'],['42.08339']
"Elridge, William (""Eldridge"").",['1798'],['-81.43428'],['40.3584']
"Espich, Christian; New Philadelphia, Ohio.",['1816'],['-74.32432'],['41.40204']
"Espich, dr.",['1810'],['-81.44567'],['40.48979']
"Espich, dr.; Lutheran clergyman and physician; New Philadelphia.",['1808'],['-74.32432'],['41.40204']
"Ettwein, Johannes, Moravian bishop; Bethlehem.","['1772', '1783', '1783']","['-52.77995', '-79.54088', '-89.12368']","['47.23879', '41.12728', '37.13838']"
"Ettwein, Johannes, bishop.","['1790', '1772', '1772']","['-86.98636', '-78.73031', '-82.66736']","['45.27262', '40.86173', '35.98844']"
"Ettwein, John, bishop.",['1798'],['-83.04575'],['42.33143']
"Ettwein, John.","['1755', '1755', '1755', '1754', '1755', '1754', '1754']","['-81.43428', '-81.43428', '-75.4999', '-81.43428', '-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '43.00035', '40.3584', '40.3584', '40.3584', '40.3584']"
"Euler (""Eiler""); Graceham (m.).",['1803'],['-74.32432'],['41.40204']
Euler (fam.); Graceham.,['1806'],['-74.32432'],['41.40204']
"Everett (""Evritt""), Joseph and Sara.",['1804'],['-74.32432'],['41.40204']
"Everett (al. Everith), John; Allemaengel.",['1751'],['-81.43428'],['40.3584']
"Everett, John.",['1610'],['-78.73031'],['40.86173']
"Everett, Maria.",['1800'],['-81.43428'],['40.3584']
"Everle, Jacob.","['1755', '1755']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Everle, Jacob; Bethlehem.","['1755', '1755']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Fabricius, Georg Christian.","['1754', '1754', '1754', '1755', '1755']","['-81.43428', '-78.73031', '-78.73031', '-78.73031', '-75.99689']","['40.3584', '40.86173', '40.86173', '40.86173', '39.95483']"
"Fabricius, George Christian.",['1755'],['-75.99689'],['39.95483']
"Feldhausen, Heinrich; Christiansbrunn.",['1753'],['-81.43428'],['40.3584']
Fenner; Gnadenhutten.,['1803'],['-74.32432'],['41.40204']
Field.,['1798'],['-82.44981'],['42.31679']
"Filkin, Franz, judge; Filkentown, New York.",['1744'],['-73.59901'],['41.92815']
"Fischer, Casper.","['1755', '1755', '1755', '1755']","['-81.43428', '-78.73031', '-78.73031', '-75.30962']","['40.3584', '40.86173', '40.86173', '40.74038']"
"Fischer; Bethel, Pa.",['1804'],['-81.43428'],['40.3584']
"Flammand (""Flemming""), trader; Petquotting.","['1804', '1805']","['-82.54906', '-83.45993']","['41.3981', '41.69949']"
Flammand.,"['1806', '1806', '1808']","['-74.32432', '-82.54906', '-82.8413']","['41.40204', '41.3981', '41.47894']"
"Fleisner, Nicholas (prob.).","['1749', '1749']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Flemming, settler on Thames R.; Ont.",['1813'],['-73.26373'],['41.14121']
Flemming.,"['1809', '1806']","['-73.26373', '-85.12886']","['41.14121', '41.1306']"
Fockel.,['1752'],['-81.43428'],['40.3584']
"Forestier, Carl von, member Unity Elders Conference.",['1806'],['-78.73031'],['40.86173']
"Forestier, Carl von.","['1807', '1807', '1807', '1807', '1807', '1807', '1806', '1807']","['-74.32432', '-82.54906', '-83.45993', '-74.32432', '-80.00032', '-81.43428', '-89.12368', '-73.26373']","['41.40204', '41.3981', '41.69949', '41.40204', '35.50069', '40.3584', '37.13838', '41.14121']"
Forestier.,['1807'],['-83.45993'],['41.69949']
"Fox, Joseph, commissioner and barracks master; Phila.","['1763', '1763']","['-75.22907', '-75.22907']","['39.88539', '39.88539']"
"Fox, Joseph.","['1764', '1764', '1764']","['-75.16362', '-75.16362', '-78.73031']","['39.95238', '39.95238', '40.86173']"
"Freeman, Daniel, Methodist minister; Long Point, Ont.",['1810'],['-73.26373'],['41.14121']
"Frey, Andreas; Warwick, Pa.",['1755'],['-81.43428'],['40.3584']
"Frey, Heinrich.",['1755'],['-78.73031'],['40.86173']
"Frey, Henry.","['1753', '1755', '1755', '1753', '1755', '1754', '1754', '1755', '1756', '1752', '1755', '1755', '1755', '1755', '1747', '1748', '1754', '1754', '1754', '1755', '1749', '1749', '1749', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748', '1748']","['-76.22077', '-75.99689', '-76.55885', '-76.55885', '-76.55885', '-81.43428', '-105.63666', '-105.63666', '-81.43428', '-81.43428', '-81.43428', '-75.99689', '-105.63666', '-81.43428', '-78.73031', '-75.20434', '-105.63666', '-81.43428', '-78.73031', '-78.73031', '-76.55885', '-76.55885', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-76.55885', '-76.55885', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031']","['41.05203', '39.95483', '40.78897', '40.78897', '40.78897', '40.3584', '41.47747', '41.47747', '40.3584', '40.3584', '40.3584', '39.95483', '41.47747', '40.3584', '40.86173', '40.68899', '41.47747', '40.3584', '40.86173', '40.86173', '40.78897', '40.78897', '40.86173', '40.86173', '40.86173', '40.86173', '40.78897', '40.78897', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173']"
"Frey, Henry; Bethlehem.","['1747', '1747']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Frey, Jacob.",['1749'],['-78.73031'],['40.86173']
"Frey, Susanna, w. Abraham Frey.",['1804'],['-74.32432'],['41.40204']
"Frey, surveyor.",['1786'],['-83.04575'],['42.33143']
"Friedrich, Carl.",['1755'],['-78.73031'],['40.86173']
"Fritt, justice; Dutchess Co., N.Y.",['1744'],['-73.59901'],['41.92815']
"Froehlich, Christian Gottlieb.",['1798'],['14.74381'],['51.01624']
"Froehlich, Christian.","['1752', '1751', '1747', '1747', '1748']","['-78.73031', '-81.43428', '-81.43428', '-78.73031', '-78.73031']","['40.86173', '40.3584', '40.3584', '40.86173', '40.86173']"
"Froehlich, Maria Esther, m. n. Robins, w. of Christian Froehlich.",['1747'],['-81.43428'],['40.3584']
"Fruauff, John Frederick; Nazareth.",['1818'],['-74.32432'],['41.40204']
"Fuhrer, Christian.","['1747', '1746', '1745']","['-78.73031', '-78.73031', '-73.91264']","['40.86173', '40.86173', '41.92676']"
"Fuhrer, Christian; Rhinebeck, N.Y.","['1742', '1743']","['-73.59901', '-73.59901']","['41.92815', '41.92815']"
"Fuhrer, David, s. of Christian Fuhrer.",['1744'],['-73.59901'],['41.92815']
"Fuhrer, Valentine.","['1755', '1755', '1755', '1754', '1755', '1752', '1748', '1752', '1752', '1755', '1748']","['-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.3584', '40.3584', '40.86173', '40.86173', '40.86173']"
"Fuhrer, Valentine; Bethlehem.","['1747', '1747', '1747', '1748']","['-81.43428', '-78.73031', '-81.43428', '-78.73031']","['40.3584', '40.86173', '40.3584', '40.86173']"
"Fuss, Lucas; Christiansbrunn.",['1755'],['-81.43428'],['40.3584']
"Gage, general.","['1793', '1793']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Gamble, William, express.","['1807', '1807']","['-82.54906', '-82.54906']","['41.3981', '41.3981']"
"Gambold, Hector, al. Ernest; New York.",['1744'],['-73.59901'],['41.92815']
"Gambold, Hector.","['1762', '1761', '1763']","['-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173']"
"Gambold, John; Salem, N.C.",['1799'],['-74.32432'],['41.40204']
"Garrison (""Gerritson""), Lambert.",['1751'],['-81.43428'],['40.3584']
"Garrison, John.","['1753', '1748', '1755']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
"Garrison, Lambert.",['1754'],['-76.55885'],['40.78897']
"Garrison, Marianne, m. n. Brandt, w. of Nicholas Garrison.",['1764'],['-75.16362'],['39.95238']
"Garrison, Nicholas, Jr.",['1751'],['-81.43428'],['40.3584']
"Garrison, Nicholas, captain.","['1748', '1748', '1749', '1749', '1755', '1750', '1750', '1744', '1744', '1744']","['-75.4999', '-40.0', '-81.43428', '-40.0', '-81.43428', '-81.43428', '-78.73031', '-73.59901', '-73.59901', '-73.59901']","['43.00035', '72.0', '40.3584', '72.0', '40.3584', '40.3584', '40.86173', '41.92815', '41.92815', '41.92815']"
"Gattermeyer, Johann Leonhard.","['1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755']","['-76.55885', '-76.55885', '-81.43428', '-76.55885', '-78.73031', '-81.43428', '-75.92687', '-78.73031']","['40.78897', '40.78897', '40.3584', '40.78897', '40.86173', '40.3584', '40.33565', '40.86173']"
"Geitner, Johann Georg; Bethlehem.","['1750', '1752', '1748']","['-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584']"
"George, John.",['1799'],['-82.3896'],['38.84591']
"George, Robert, trader.","['1777', '1777']","['-76.40302', '-81.43428']","['39.94677', '40.3584']"
"Gibson, John.","['1774', '1774', '1775', '1776', '1778', '1779', '1779', '1776']","['-76.40302', '-79.99589', '-77.44675', '-81.43428', '-81.40706', '-81.45762', '-81.45762', '-76.40302']","['39.94677', '40.44062', '37.54812', '40.3584', '40.39479', '40.63978', '40.63978', '39.94677']"
"Gilman, Joseph, judge; Marietta, Ohio.",['1801'],['-84.51439'],['39.12711']
"Girty, Simon (""Girtley"", ""Yarty""), captain; Pittsburg, later Detroit.",['1779'],['-83.04575'],['42.33143']
"Goebeld, settler; Mahoning Cr.",['1751'],['-81.43428'],['40.3584']
"Goetje, Peter.","['1754', '1755', '1755', '1754']","['-81.43428', '-75.61602', '-75.30962', '-78.73031']","['40.3584', '40.73454', '40.74038', '40.86173']"
"Gordon, Lewis (?).",['1763'],['-75.16362'],['39.95238']
"Gore, Francis, governor of Upper Canada.",['1808'],['-73.26373'],['41.14121']
"Gottachalk, Matthias Gottlieb; Bethlehem.",['1748'],['-81.43428'],['40.3584']
"Graebenstein, Johann, missionary.",['1749'],['-81.43428'],['40.3584']
"Graff, Gertrud, m. n. Jacke, w. of Johann Michael Graff.",['1752'],['-81.43428'],['40.3584']
"Graff, Johann Michael.","['1752', '1752']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Greening, James.",['1750'],['-81.43428'],['40.3584']
"Greer (""Grier""), Mary, m. n. Evrett; Gnadenhutten.",['1803'],['-74.32432'],['41.40204']
"Greer, Hannah.","['1799', '1800', '1800', '1801']","['-81.43428', '-74.32432', '-81.43428', '-74.32432']","['40.3584', '41.40204', '40.3584', '41.40204']"
"Greer, Paul; Gnadenhutten.",['1799'],['-74.32432'],['41.40204']
"Gregor, Christian.",['1810'],['-75.61602'],['40.73454']
"Griffin, trader.","['1799', '1800']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Griffin, trader; Charleston.",['1798'],['-74.32432'],['41.40204']
"Gross, Andress; Bethlehem.","['1752', '1753']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
Grube Bernhard Adam.,['1754'],['-81.43428'],['40.3584']
"Grube, Bernhard Adam, Moravian missionary.","['1780', '1777', '1780', '1780', '1780', '1780']","['-76.40302', '-81.43428', '-81.43428', '-76.40302', '-81.43428', '-76.40302']","['39.94677', '40.3584', '40.3584', '39.94677', '40.3584', '39.94677']"
"Grube, Bernhard Adam.","['1755', '1755', '1755', '1755', '1751', '1752', '1755', '1750', '1763', '1763', '1753', '1753', '1754', '1754', '1754', '1753', '1749', '1754', '1754', '1754', '1753', '1754', '1755', '1754', '1754', '1755', '1763', '1764', '1764', '1764', '1764', '1765', '1765', '1764', '1764', '1763', '1763', '1752', '1752', '1753', '1752', '1752', '1752', '1753', '1761', '1761', '1761', '1762', '1763']","['-81.43428', '-81.43428', '-75.30962', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-75.99689', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-105.63666', '-105.63666', '-78.73031', '-81.43428', '-105.63666', '-105.63666', '-78.73031', '-105.63666', '-81.43428', '-81.43428', '-78.73031', '-86.52774', '-78.73031', '-75.22907', '-74.85183', '-74.65905', '-75.16362', '-75.16362', '-75.16362', '-78.73031', '-74.74294', '-74.65905', '-84.56134', '-75.16362', '-81.43428', '-81.43428', '-81.43428', '-105.63666', '-76.55885', '-76.55885', '-76.55885', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-75.22907']","['40.3584', '40.3584', '40.74038', '40.3584', '40.3584', '40.3584', '40.86173', '40.86173', '39.95483', '40.86173', '40.3584', '40.3584', '40.86173', '41.47747', '41.47747', '40.86173', '40.3584', '41.47747', '41.47747', '40.86173', '41.47747', '40.3584', '40.3584', '40.86173', '31.24073', '40.86173', '39.88539', '40.10067', '40.34872', '39.95238', '39.95238', '39.95238', '40.86173', '40.21705', '40.34872', '39.3995', '39.95238', '40.3584', '40.3584', '40.3584', '41.47747', '40.78897', '40.78897', '40.78897', '40.86173', '40.86173', '40.86173', '40.86173', '39.88539']"
"Grube, Bernhard.",['1759'],['-73.10844'],['41.16926']
"Grube, Marg Elisabeth.",['1764'],['-74.65905'],['40.34872']
"Grube, Margaretha Elisabeth.","['1761', '1763', '1763', '1763', '1763', '1763', '1761', '1762', '1761', '1764']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-75.16362', '-75.22907', '-75.30962', '-78.73031', '-78.73031', '-75.16362']","['40.86173', '40.86173', '40.86173', '40.86173', '39.95238', '39.88539', '40.74038', '40.86173', '40.86173', '39.95238']"
